,IGN,Name,Team,Role,Country,Age
0,4LaN,Alanderson Meireles,Team oNe eSports,Jungler,Brazil,20.0
1,Absolut,Luis Felipe Carvalho,Team oNe eSports,Bot,Brazil,
2,Aegis,Gabriel Vinicius Saes de Lemos,RED Academy,Jungler,Brazil,19.0
3,Anyyy,Ruan Silva,Uppercut esports,Mid,Brazil,19.0
4,Aoshi,Franklin Coutinho,INTZ Academy,Top,Brazil,25.0
5,Aslan,Eduardo Nunes,CNB e-Sports Club,Mid,Brazil,
6,Atlanta,Guilherme Matos de Lima Santos,Havan Liberty,Mid,Brazil,21.0
7,Avenger,Adriano Perassoli,RED Canids,Mid,Brazil,18.0
8,Ayel,Marcelo Mello,paiN Gaming,Top,Brazil,21.0
9,Baiano,Gustavo Gomes,Santos e-Sports,Support,Brazil,
10,Bgob,Bruno Giovane,paiN Academy,Jungler,Brazil,21.0
11,BocaJR,Emerson Alencar,INTZ e-Sports,Support,Brazil,21.0
12,brTT,Felipe Gonçalves,Flamengo eSports,Bot,Brazil,28.0
13,Brucer,Bruno Pereira,Team oNe eSports,Mid,Brazil,
14,bydeki,Vinícius Hideki,CNB e-Sports Club,Bot,Brazil,
15,Caos,Jonas Cardoso Vriesman,Vivo Keyd,Jungler,Brazil,22.0
16,Cariok,Marcos Santos de Oliveira Junior,Havan Liberty,Jungler,Brazil,19.0
17,Ceos,Denilson Oliveira Gonçalves,KaBuM! e-Sports,Support,Brazil,20.0
18,Codpiece,Alexandre de Carli,Redemption POA,Support,Brazil,
19,Damage,Yan Sales Neves,Uppercut esports,Support,Brazil,21.0
20,Danagorn,Daniel Drummond,Santos e-Sports,Coach,Brazil,27.0
21,danz0r,Daniel Mussoi,Redemption Academy,Bot,Brazil,22.0
22,Davi,Davi Elias Rosalino,Rensga eSports,Bot,Brazil,21.0
23,Days4fun,Gabriel de Oliveira Dias,Redemption POA,Jungler,Brazil,23.0
24,Deoxys,Luis Gustavo,Rensga eSports,Top,Brazil,21.0
25,Duclou,Francisco Duclou Rito,CNB e-Sports Club,Top,Brazil,20.0
26,DudsTheBoy,Igor Lima Homem,KaBuM! e-Sports,Bot,Brazil,23.0
27,dyNquedo,Matheus Rossini Miranda,KaBuM! e-Sports,Mid,Brazil,21.0
28,Envy,Bruno Farias,INTZ e-Sports,Mid,Brazil,20.0
29,Eradan,André dos Santos,paiN Academy,Top,Brazil,19.0
30,esA,André Eidi Yanagimachi Pavezi,paiN Gaming,Support,Japan,25.0
31,Evrot,Danniel Franco,Falkol,Mid,Brazil,
32,Fitz,Mateus Cayres,Uppercut esports,Top,Brazil,
33,fNb,Francisco Natanael Braz do Espirito Santo Miranda,ProGaming Esports,Top,Brazil,19.0
34,Freire,Matheus Freire,CNB e-Sports Club,Jungler,Brazil,20.0
35,furyz,Erick Susin,Falkol,Coach,Brazil,
36,Garo,Humberto Peixoto,ProGaming Esports,Bot,Brazil,
37,GGNiko,Nicholas Bocchi,CNB e-Sports Club,Manager,Brazil,24.0
38,Gikko,Giordano Pereira,Missouri Valley College,Bot,Brazil,21.0
39,Goku,Bruno Miyaguchi,Flamengo eSports,Mid,Brazil,22.0
40,Grevthar,Daniel Xavier,paiN Academy,Mid,Brazil,
41,Guigo,Guilherme Ruiz,RED Canids,Top,Brazil,17.0
42,Gyeong,Leonardo Oliveira Alves de Lima,Havan Liberty,Support,Brazil,19.0
43,Hauz,Bruno Augusto Felberge Ferreira,ProGaming Esports,Mid,Brazil,18.0
44,Hawk,Gabriel Gomes de Araujo,CNB e-Sports Club,Support,Brazil,19.0
45,Hy0g4,Benjamin de Barbi,Uppercut esports,Jungler,Brazil,
46,Jockster,Luan Cardoso,Redemption POA,Support,Brazil,23.0
47,JoJo,Gabriel Dzelme de Oliveira,Team oNe eSports,Support,Brazil,20.0
48,Jukes,Flávio Fernandes,C9 Academy,Top,Brazil,21.0
49,Juzinho,Gabriel Nishimura,Flamengo eSports,Bot,Brazil,
50,K0ga,Lucas Godoy,Havan Academy,Coach,Brazil,24.0
51,Kales,Thales Augusto Braga,Havan Liberty,Mid,Brazil,
52,Kami,Gabriel Bohm Santos,paiN Gaming,Inactive,Brazil,23.0
53,Kennedys,Bruno Goularte Garcia,Havan Liberty,Top,Brazil,18.0
54,Killuard,Sergio Fernando Cuna Ligocky,HUE Brazil,Support,Brazil,23.0
55,Klaus,Augusto Clauss,Vivo Keyd,Bot,Brazil,22.0
56,Krastymel,Marcos Henrique Ferraz,Redemption POA,Mid,Brazil,20.0
57,Lep,Pedro Luiz Marcari,RED Canids,Top,Brazil,
58,Luskka,Lucas Felipe Rentechen,ProGaming Esports,Bot,Brazil,
59,Lynx,Pedro Quintavalle,INTZ e-Sports,Top,Brazil,23.0
60,Maestro,Lucas Pierre,INTZ e-Sports,Coach,Brazil,
61,Mandiocaa,Adrian Augusto Dei Romero,KT Cuck Gaming,Mid,Brazil,22.0
62,Marf,João Luis Piola,Team oNe eSports,Mid,Brazil,21.0
63,Matsu,Pedro Gama,paiN Gaming,Bot,Brazil,
64,micaO,Micael Rodrigues,INTZ e-Sports,Bot,Brazil,22.0
65,Mills,Guilherme Uessler Conti,INTZ e-Sports,Bot,Brazil,23.0
66,Minerva,Gustavo Queiroz Alves,paiN Gaming,Jungler,Brazil,
67,Name,Gustavo Rodrigues,Havan Liberty,Top,Brazil,22.0
68,Nano,Antonio Neto,paiN Academy,Support,Brazil,22.0
69,NOsFerus,Júlio César Cruz,Vivo Keyd,Mid,Brazil,19.0
70,Nyu,Renan Augusto Silva,Redemption POA,Top,Brazil,25.0
71,pbO,Pablo Yuri,CNB e-Sports Club,Bot,Brazil,
72,POMBO,Thales Rezende de Sampaio,Minerva eSports UFRJ,Mid,Brazil,24.0
73,Prb,João Pedro Oliveira,Santos e-Sports,Jungler,Brazil,
74,Professor,Matheus Leirião,Vivo Keyd,Support,Brazil,23.0
75,Rakin,Rafael Knittel,TL Academy,Mid,Brazil,24.0
76,Ranger,Filipe Brombilla de Barrios,KaBuM! e-Sports,Jungler,Brazil,23.0
77,RedBert,Ygor Freitas,INTZ e-Sports,Support,Brazil,
78,Revolta,Gabriel Henud Cresci,RED Canids,Jungler,Brazil,23.0
79,Riva,Alan Rivabene,Redemption Academy,Mid,Brazil,20.0
80,Riyev,Marcelo Carrara,Falkol,Support,Brazil,22.0
81,Road,Roberto Freitas,Falkol,Bot,Brazil,
82,Robo,Leonardo Souza,Flamengo eSports,Top,Brazil,21.0
83,Sacy,Gustavo Rossi,RED Canids,Bot,Brazil,
84,Sadoski,Wesley Sadoski,Team oNe eSports,Support,Brazil,24.0
85,Sarkis,Matheus Guimarães Sarquis,Havan Liberty,Bot,Brazil,22.0
86,Sephis,Diego Alejandro de Alencar Jara,INTZ e-Sports,Jungler,Brazil,21.0
