,IGN,Name,Team,Role,Country,Age
0,AHaHaCiK,Kirill Skvortsov (Кирилл Скворцов),Unicorns Of Love,Jungler,Russia,
1,alldeady,Ruslan Khismatullin (Руслан Хисматуллин),RoX,Coach,Russia,24.0
2,Anechek,Dmitriy Anenko,RoX,Jungler,Ukraine,
3,Ankote,Nataliya Zayko (Наталия Зайко),Vaevictis eSports,Support,Russia,21.0
4,BOSS,Vladislav Fomin (Владислав Фомин),Unicorns Of Love,Top,Russia,
5,Charger,Оleg Zhuravlyov (Олег Журавлев),RoX,Top,Russia,
6,Diamondprox,Danil Reshetnikov (Данил Решетников),Gambit Esports,Jungler,Russia,26.0
7,Drobovik123,Evgeny Belousov (Евгений Белоусов),Dragon Army,Mid,Russia,23.0
8,Haninger,Stepan Hrabik,Sunshine in L.A.,Bot,Ukraine,17.0
9,Intgration,Elina Sokolova (Элина Соколова),Vaevictis eSports,Top,Russia,
10,Invi,Dmitrii Protasov (Дмитрий Протасов),Unicorns Of Love,Coach,Russia,
11,JamesPeke,Kirill Katashov (Кирилл Каташов),Dragon Army,Manager,Russia,24.0
12,Jestkui Max,Maksim Filipenko (Максим Филипенко),Gambit Esports,Support,Russia,21.0
13,Khomzar,Nazarii Khomitskiy,Newcastle Jaguars,Top,Ukraine,
14,Kinzu,Vladyslav Belokon (Владиcлав Белоконь),UOL Sexy Edition,Bot,Ukraine,22.0
15,Kira,Mykhailo Harmash (Михайло Гармаш),Gambit Esports,Mid,Ukraine,26.0
16,Lodik,Stanislav Kornelyuk (Станислав Корнелюк),Gambit Esports,Bot,Russia,
17,Madneps,Aleksey Kholin (Алексей Холин),Vaevictis eSports,Manager,Russia,32.0
18,Maxim,Maxim Tarasov (Максим Тарасов),RoX,Mid,Russia,
19,Merao,Aida Kazaryan (Аида Казарян),Vaevictis eSports,Jungler,Russia,21.0
20,Nomanz,Lev Yakshin (Лев Якшин),Unicorns Of Love,Mid,Russia,20.0
21,Pooh,Emil Aliev (Эмиль ​Алиев),RoX,Bot,Russia,
22,PvPStejos,Alexander Glazkov (Олександр Глазков),Gambit Esports,Top,Ukraine,22.0
23,Saviour,Vladen Dvoretsky (Владлен Дворецкий),We Love Gaming,Coach,Russia,
24,Sharkz,Alexey Taranda (Аляксей Таранда),G2 Heretics,Coach,Belarus,
25,TR1GGERED,Diana Ivanchenko (Диана Иванченко),Vaevictis eSports,Support,Russia,
26,Trianna,Ksenia Meshcheryakova (Ксения Мещерякова),Vaevictis eSports,Bot,Russia,
27,Ultimatum,Denis Merkulov (Денис Меркулов),Elements Pro Gaming,Coach,Russia,24.0
28,Vata,Ilia Bushuev (Илья Бушуев),RoX,Support,Russia,
29,VioletFairy,Elena Koval (Елена Коваль),Vaevictis eSports,Mid,Ukraine,
30,XoNix,Khaled Noman,RoX,Mid,Ukraine,
31,Zanzarah,Nikolay Akatov (Николай Акатов),Origen BCN,Jungler,Russia,22.0
