,IGN,Name,Team,Role,Country,Age
0,1874,Chen Li-Xin (陈立信),TS Gaming,Support,China,
1,1ntruder,Tang Sheng (唐圣),VP Game,Jungler,China,24.0
2,369,Bai Jia-Hao (白家浩),Top Esports,Top,China,17.0
3,705,He Yu-Long (何驭龙),iG Young,Top,China,
4,925,Zheng Cheng-Kai (郑成楷),Victorious Gaming,Support,China,
5,957,Ke Chang-Yu (柯昌宇),Team WE,Top,China,25.0
6,997,Li Hao-Feng (李豪峰),Victorious Gaming,Top,China,21.0
7,A02,Wu Jin-Hao (吴锦豪),Joy Dream,Bot,China,20.0
8,Able,Dai Zhi-Chun (戴志春),Royal Club,Bot,China,19.0
9,Aitong,Xiang Yi-Tong (向易桐),SinoDragon Prince,Jungler,China,
10,Aix,Li Yang (李阳),Vici Gaming,Jungler,China,19.0
11,AK,Zhou Kun (周坤),King of Future,Top,China,
12,AKi,Mao An (毛安),Top Esports,Jungler,China,19.0
13,Alielie,Hang Dong-Xu (韩东旭),BLG Junior,Top,China,
14,Aliez,Huang Hao (黄浩),Victory Five,Top,China,
15,ALU,Wang Zhi-Yi (王志毅),Young Miracles,Support,China,
16,Alun,Liu Zhi-Yu (刘志云),LinGan e-Sports,Top,China,
17,Amaj,Liu Yao (刘瑶),SinoDragon Prince,Support,China,
18,AmazingJ,Shek Wai Ho (石偉豪),RNG,Top,Hong Kong,21.0
19,Angel,Xiang Tao (向涛),Suning,Mid,China,18.0
20,Aodi,Zhao Ao-Di (赵奥迪),Vici Gaming,Top,China,19.0
21,Api,Yao Jian-Jing (姚健晶),VG Potential,Top,China,
22,April,Zhang Jun-Chao (张骏超),FunPlus Blaze,Bot,China,
23,Aris,Wei Hao-Jin (魏浩晋),VP Game,Top,China,17.0
24,Assam1,Gong Yu (龚宇),Snake WuDu,Bot,China,
25,Assqssin,Zhou Yi-Xiang (周翼翔),Legend Esport,Mid,China,
26,Asura,Lu Qi (卢麒),LNG Esports,Bot,China,20.0
