,IGN,Name,Team,Role,Country,Age
0,Aagie,Carlos Carpio,G2 Heretics,Analyst,Spain,22.0
1,Abbedagge,Felix Braun,FC Schalke 04,Mid,Germany,
2,Aboekra,Dean Manuputty,Defusekids,Streamer,Netherlands,
3,Ace,Ignacio Piaggio Correo,Giants Academy,Bot,Spain,
4,Acidy,Markus Käpp,Sparks,Top,Estonia,18.0
5,Addi,Arnar Snæland,Dusty,Mid,,
6,Adept,Andreas Blikfeldt,Penguins,Mid,Sweden,
7,Adiss,Petr Pavlíček,Vikingekrig Esports,Top,Czech Republic,
8,Adm,Pór Gábor,Phelan Gaming,Mid,Hungary,
9,Aerados,Tijmen Giesbers,Dorans Alpha,Mid,Netherlands,21.0
10,Aesthetic,Frank Norqvist,Team MCES,Jungler,Sweden,22.0
11,Aether,Bailey Philp,Enclave Gaming,Bot,United Kingdom,
12,Afm,André Martins,For The Win Esports,Bot,Portugal,
13,Agentas,Deivydas Plikaitis,eNsure,Jungler,Lithuania,20.0
14,Agresivoo,Tobiasz Ciba,devils.one,Top,Poland,19.0
15,Akabane,Philippe Le,Outplayed Academy,Jungler,France,18.0
16,Aken,Enes Akgül,Bursaspor Academy,Mid,Germany,17.0
17,aki,Daniel Lauri,MOBA ROG,Mid,Italy,20.0
18,Akutsune,Steeve Bernard,Bastille Legacy,Support,France,
19,Alba,Hugo Canteiro,Estoril Praia eSports,Jungler,Portugal,18.0
20,Alca,Carsten Thiedig,XGS eSports,Mid,Germany,25.0
21,Alex Taylør,Alex Taylor,Neon Esports,Mid,Belgium,19.0
22,Alois,Alois Nelissen,Defusekids,Top,Netherlands,
23,AlphaCloud,Michael Skrede,Solwing Esports,Top,Norway,
24,Alphari,Barney Morris,Origen,Top,United Kingdom,19.0
25,Alternative,João Parada,Uppercut esports,Bot,Portugal,
26,Amades,Janusz Rabiej,Fake Team,Bot,Poland,
27,AMOUR FAYA,Coen de Witte,Team Animals,Support,Netherlands,22.0
28,ANG,Octav Cretu George,Nexus Gaming,Support,Romania,24.0
29,Animale,Nicholas Matterazzo,Dropz Esports,Mid,Italy,22.0
30,Anthrax,Robbe Dobbeleers,Beşiktaş Esports,Support,Belgium,21.0
31,AoD,Baltat Alin-Ciprian,Origen BCN,Coach,Romania,
32,Apples,Žiga Jereb,Team Rursus,Mid,Slovenia,
33,Arag0rne,Konstantinos Ziagkliavos (Κωνσταντίνος Ζιαγκλιαβός),GamerLegion,Coach,Greece,22.0
34,Araneae,Alvar Martín Aleñar,MAD Lions,Manager,Spain,30.0
35,Araysh,Nikolas Papadopoulos (Νικόλας Παπαδόπουλος),Reformed Gaming,Mid,Greece,
36,Ardenein,Agapitos Vougesis (Αγαπητός Βουγέσης),Outlawz,Bot,Greece,
37,Artum,Arttu Mattila,NYYRIKKI Academy,Mid,Finland,23.0
38,Asker,Ivan Florin,Reformed Gaming,Bot,Romania,
39,Aspirra,Edwin Kelemen,Austrian Force,Support,Austria,23.0
40,ATL,Aleksanteri Leinonen,NYYRIKKI,Coach,Finland,
41,Atom,Peter Thomsen,UOL Sexy Edition,Top,Denmark,24.0
42,ATRemains,Igors Radkevič,Gambit Esports,Coach,Latvia,28.0
43,Atrocez,Thomas Dijk,Sector One,Support,Netherlands,
44,Attila,Amadeu Carvalho,Team Vitality,Bot,Portugal,23.0
45,augutis,Eugenijus Bulvydas,Six Feet Under,Top,Lithuania,
46,Avahir,Michał Kudliński,Polsat Games,Caster,Poland,
47,Ax3l,Antonis Tzanakis (Αντωνης Τζανακης),Different Dimension,Bot,Greece,19.0
48,Aziado,Tiago Rodrigues,S2V Esports,Top,Portugal,
49,Azitor,Alex Kanerva,Neon Esports,Bot,Finland,19.0
50,Azra,Ayoub Chamakhi (أيوب شماخي),AeQ eSports,Jungler,Tunisia,24.0
51,Baba,Onur Kazim Kaya,Echo Zulu,Bot,Netherlands,24.0
52,Baca,João Bigas,S2V Esports,Mid,Portugal,
53,Backlund,Jonathan Bäcklund,EURONICS Gaming,Mid,Sweden,19.0
54,Bad Habit,Marteinn Gíslason,Dusty,Support,,
55,BadPie,Nicolas Mihalik,PANTHERS Gaming,Top,Slovakia,
56,Bako,Thodoris Bakogiannis (Θοδωρής Μπακογιάννης),Greek Regenesis,Top,Greece,23.0
57,Bakuażan,Krzysztof Chęciński,Wisła Płock,Coach,Poland,
58,Bananitoo,Nikolaos Fakis (Νίκος Φάκης),We Love Gaming,Bot,Greece,21.0
59,Bando,Brian Ferrando,Team-LDLC,Top,Switzerland,
60,Barcode,Sander Laidre,PENTA 1860,Bot,Estonia,
61,barrage,Luc van Gestel,ToxicFalcons,Bot,Netherlands,20.0
62,Bartiono,Bart Wessels,Barrage Esports,Support,Netherlands,22.0
63,bAZZILISKS,Edgars Salmiņš,ESCORT P9,Support,Latvia,
64,BB Muffin,Michael Smirnov,Phelan Gaming,Mid,Republic of Ireland,
65,Bean,Louis Schmitz,QLASH Forge,Bot,Germany,
66,beansu,Mauno Tälli,Movistar Riders,Top,Estonia,21.0
67,Bedvolf,Adam Howaniec,Esports Academy,Top,Poland,
68,behave,Marcin Pawlak,Rogue Esports Club,Jungler,Poland,
69,Ben3k,Szymon Przygoński,Wisła Płock,Jungler,Poland,
70,Bendix,Nicolai Bendix,Beşiktaş Academy,Mid,Denmark,
71,Benji,Petros Tsiafitsas (Πέτρος Τσιαφίτσας),Gamespace eSports,Mid,Greece,
72,Betorro,José Manuel Franco Contreras,Rebirth eSports,Coach,Spain,25.0
73,Bjorn,Bjorn Panek,Sector One,Coach,Netherlands,22.0
74,BKarv,Vasilis Karvelas (Βασίλης Καρβέλας),Dawn of Stars,Coach,Greece,
75,BlackSpeck,David Neugebauer,Tempered Fate,Mid,Germany,
76,Blaise,Joseph McGreevy,Phelan Gaming,Support,Republic of Ireland,
77,Blank,Simon Schwarz,XGS eSports,Jungler,Germany,
78,Blice,Szász Dominik,Hybrid eSports,Top,Hungary,20.0
79,Blizz,Guilherme Rodrigues,K1CK eSports Club,Mid,Portugal,
80,Bloody,Patrick Zeng,Got2Game Esport,Jungler,France,21.0
81,Blue45ty,Maciej Zaremba,PRIDE,Support,Poland,
82,bluerzor,Subicz Dániel,GamersOrigin,Jungler,Hungary,20.0
83,Blumigan,Marcus Blom,Rogue Esports Club,Coach,Sweden,26.0
84,Bobo,Bojan Lekanic,Alpaka Esports,Support,Austria,
85,Bolszak,Patryk Jażdżewski,Team DPD,Jungler,Poland,
86,Boohon,Boo Hon Huynh,S1.Academy,Mid,Netherlands,21.0
