,IGN,Name,Team,Role,Country,Age
0,Ace,Kotoji Mugita,V3 Esports,Mid,Japan,
1,Alleycat,Masaaki Yamaguchi,Rascal Jester,Top,Japan,28.0
2,Alps,Tatsumi Suzuki,Crest Gaming Act,Mid,Japan,22.0
3,apaMen,Ryo Odagiri (小田桐 稜),USG,Top,Japan,27.0
4,Arumik,Naoya Kimura,USG,Top,Japan,
5,Atyamomo,Takahito Suzuki,Crest Gaming Act,Top,Japan,
6,Broooock,Akihiro Hosogoe,Burning Core,Mid,Japan,20.0
7,Ceros,Kyohei Yoshida (吉田 恭平),DetonatioN FM,Mid,Japan,25.0
8,Cogcog,Ryohei Matsuda (松田 亮平),Burning Core,Top,Japan,22.0
9,Day1,Wataru Shimizu (清水 航),AXIZ,Bot,Japan,24.0
10,Enty,Ryosei Tanioka (谷岡 亮征),USG,Support,Japan,21.0
11,Evi,Shunsuke Murase (村瀬 俊介),DetonatioN FM,Top,Japan,23.0
12,Flaw,Keito Gokan (後閑 敬斗),Burning Core,Jungler,Japan,17.0
13,Gariaru,Yoshimasa Sato,AXIZ,Mid,Japan,24.0
14,Grendel,Shintaro Kaneko,Crest Gaming Act,Support,Japan,
15,hachamecha,Dai Takai,Crest Gaming Act,Jungler,Japan,26.0
16,HW4NG,Hwang Young-sik (황영식),V3 Esports,Coach,South Korea,27.0
17,Kabupun,,BowQen Blackbucks,Support,Japan,
18,Kazu,Kazuta Suzuki (鈴木 和太),DetonatioN FM,Coach,France,24.0
19,Keymaker,Hiroto Ito,USG,Bot,Japan,23.0
20,Masyo,Shoma Sasaki,V3 Esports,Bot,Japan,
21,Nap,Akihito Ohno,Crest Gaming Act,Top,Japan,
22,Paz,Shirou Sasaki (佐々木 四郎),V3 Esports,Top,Japan,22.0
23,Qoo,Shogo Fukuda,Crest Gaming Act,Coach,Japan,
24,Raina,Shin Okubo,Sengoku Gaming,Support,Japan,22.0
25,Ramune,Osamu Ozawa (小澤 統),DetonatioN FM,Mid,Japan,21.0
26,Recap,Norifumi Yamazaki,V3 Esports,Mid,Japan,
27,Reiya,Reiya Sakamoto,Sengoku Gaming,Top,Japan,20.0
28,Roki,Hiroki Yokoo,Burning Core,Mid,Japan,22.0
29,scottlyk,Yasuhiro Konaka,Rascal Jester,Bot,Japan,23.0
30,Sesami,Lee Sang-min (이상민),Rascal Jester,Support,South Korea,
31,Taka,Takahiro Iwata,Sengoku Gaming,Mid,Japan,
32,uinyan,Takashi Inoue,AXIZ,Top,Japan,
33,Yuhi,Yuhi Nakanishi,Burning Core,Bot,Japan,19.0
34,Yuki,Yuki Takahashi,Rascal Jester,Support,Japan,24.0
35,Yutapon,Yuta Sugiura (杉浦 悠太),DetonatioN FM,Bot,Japan,22.0
36,Yutorimoyashi,Yuta Noguchi (野口 悠太),V3 Esports,Bot,Japan,24.0
37,Zerost,Shotaro Ikeda (池田 翔太郎),V3 Esports,Bot,Japan,23.0
