,IGN,Name,Team,Role,Country,Age
0,Acorn,Choi Cheon-ju (최천주),Kingzone DragonX,Coach,South Korea,28.0
1,ADD,Kang Geon-mo (강건모),Bilibili Gaming,Top,South Korea,20.0
2,Aiming,Kim Ha-ram (김하람),Afreeca Freecs,Bot,South Korea,18.0
3,Alive,Noh Jin-wook (노진욱),Bursaspor Esports,Bot,South Korea,21.0
4,Alvingo,Choi Byeong-cheol (최병철),Jin Air Green Wings,Coach,South Korea,26.0
5,Aries,Lee Chae-hwan (이채환),DAMWON Gaming,Bot,South Korea,19.0
6,Arrow,Noh Dong-hyeon (노동현),OpTic Gaming,Bot,South Korea,24.0
7,Art,Cho Joung-hun (조정훈),Crest Gaming Act,Bot,South Korea,20.0
8,Asper,Kim Tae-gi (김태기),Gen.G,Support,South Korea,19.0
9,autumn,Jeong Soo-hwan (정수환),bbq Olivers,Mid,South Korea,21.0
10,BalKhan,Choi Hyun-jin (최현진),Galatasaray Esports,Jungler,South Korea,
11,Bang,Bae Jun-sik (배준식),100 Thieves,Bot,South Korea,23.0
12,Bdd,Gwak Bo-seong (곽보성),KT Rolster,Mid,South Korea,20.0
13,Ben,Nam Dong-hyun (남동현),Top Esports,Support,South Korea,24.0
14,BeryL,Cho Geon-hee (조건희),DAMWON Gaming,Support,South Korea,22.0
15,Beware,Park Su-hyeon (박수현),MVP,Top,South Korea,
16,Bigfafa,Seo Min-seok (서민석),Team Dynamics,Coach,South Korea,30.0
17,Blank,Kang Sun-gu (강선구),Sengoku Gaming,Jungler,South Korea,21.0
18,Blossom,Park Beom-chan (박범찬),XTEN Esports,Jungler,South Korea,19.0
19,bonO,Kim Gi-beom (김기범),Hanwha Life,Jungler,South Korea,24.0
20,Brook,Lee Jang-hoon (이장훈),Afreeca Freecs,Top,South Korea,19.0
21,Brush,Oh Jun-young (오준영),Mythus,Jungler,South Korea,
22,Bugi,Lee Seong-yeop (이성엽),Flash Wolves,Jungler,South Korea,
23,Bully,Jeong San (정산),Winners,Top,South Korea,
24,Cain,Jang Nu-ri (장누리),Team Liquid,Coach,South Korea,32.0
25,Cammly,Choi Won-ho (최원호),LGD Gaming,Coach,South Korea,30.0
26,Candy,Kim Seung-ju (김승주),G-Rex,Mid,South Korea,23.0
27,Canyon,Kim Geon-bu (김건부),DAMWON Gaming,Jungler,South Korea,17.0
28,Carb,Kim Seong-soo (김성수),Asura,Mid,South Korea,
29,Carrot,Kim Byeong-jun (김병준),MVP,Top,South Korea,19.0
30,Catan,Lee Min-hyeong (이민형),SK Telecom T1,Bot,South Korea,17.0
31,Catch,Yun Sang-ho (윤상호),Team Dynamics,Jungler,South Korea,22.0
32,Cepted,Park Wi-rim (박위림),FunPlus Blaze,Mid,South Korea,21.0
33,CheonGo,Choi Hyeon-woo (최현우),Jin Air Green Wings,Mid,South Korea,20.0
34,Chief,Park Sang-bum (박상범),Winners,Coach,South Korea,
35,Chieftain,Lee Jae-yub (이재엽),BLG Junior,Jungler,South Korea,18.0
36,Chovy,Jeong Ji-hoon (정지훈),Griffin,Mid,South Korea,18.0
37,Clid,Kim Tae-min (김태민),SK Telecom T1,Jungler,South Korea,19.0
38,Coma,Hong Hee-bum (홍희범),Kaos Latin Gamers,Jungler,South Korea,
39,Comet,Lim Hye-sung (임혜성),SANDBOX Gaming,Coach,South Korea,27.0
40,CooN,Park Jae-ha (박재하),Brion Blade,Coach,South Korea,
41,CoreJJ,Jo Yong-in (조용인),Team Liquid,Support,South Korea,24.0
