,IGN,Name,Team,Role,Country,Age
0,2188,Huang Jin-Long (黃金隆),Dragon Gate Team,Top,Taiwan,22.0
1,3z,Chen Han (陳翰),Hong Kong Attitude,Top,Taiwan,22.0
2,Alex,Chen Yu-Ming (陳煜明),ahq e-Sports Club,Jungler,Taiwan,19.0
3,An,Chou Chun-An (周俊諳),ahq e-Sports Club,Bot,Taiwan,24.0
4,Apex,Hsieh Chia-Wei (謝家維),SuperEsports,Mid,Taiwan,23.0
5,Atlen,Sung Ya-Lun (宋亞倫),G-Rex,Bot,Taiwan,19.0
6,Azhi,Huang Shang-Zhi (黃上鋕),ahq Fighter,Top,Taiwan,18.0
7,baybay,Wang You-Chun (王佑軍),G-Rex Infinite,Jungler,Taiwan,22.0
8,Bengo,Yuang Hsin-Yu (黃新宇),J Team 2,Jungler,Taiwan,19.0
9,Benny,Lien Hsiu-Chi (連修琪),MAD Team,Jungler,Taiwan,20.0
10,Betty,Lu Yu-Hung (盧禹宏),Flash Wolves,Bot,Taiwan,19.0
11,Biven,Wu Hao-Wei (吳浩瑋),G-Rex Infinite,Jungler,Taiwan,18.0
12,BOSS,Ke Wen-Hong (柯文泓),MachiX,Top,Taiwan,19.0
13,Breaker,Shih Yueh-Ting (施岳廷),J Team,Jungler,Taiwan,21.0
14,Breeze,Huang Chien-Yuan (黃建源),MAD Team,Bot,Taiwan,21.0
15,Bruce,Chiu Chih-Chun (邱致鈞),G-Rex,Bot,Taiwan,
16,Caipi,Chuang Yin-Shun (莊銀順),Alpha Esports,Mid,Taiwan,22.0
17,CDD,Lin Yu-Lin (林又麟),Fish Dive Team,Mid,Taiwan,20.0
18,Chawy,Wong Xing Lei (王心磊),Hong Kong Attitude,Coach,Singapore,27.0
19,Chunx,Tang Hoi Chun (鄧海駿),Royal Club,Coach,Hong Kong,
20,Colour,Wan Tsz To (尹梓滔),iGamers.org,Streamer,Hong Kong,
21,Coool,Choi Hoi Hin (蔡海軒),G-Rex Infinite,Support,Hong Kong,21.0
22,CyberRed,Sin Shing Hei (冼承希),Kowloon Esports,Support,Hong Kong,19.0
23,Daper,Tai Ting-Feng (戴廷峰),MachiX,Jungler,Taiwan,18.0
24,DDC,Tsao Yu-Hao (曹宇皓),Alpha Esports,Bot,Taiwan,21.0
25,Dee,Chen Chun-Dee (陳駿迪),MachiX,Bot,Taiwan,25.0
26,Deer,Hung Sheng-Yu (洪勝郁),Fish Dive Team,Support,Taiwan,20.0
27,Dennis,"Lau ""Dennis"" Hoi Wing (劉凱穎)",F-Soul Esports,Mid,Hong Kong,24.0
28,Do1u1u,Cai Jian-Cheng (蔡健成),ahq Fighter,Support,Taiwan,21.0
29,Doge,Chiu Tzu-Chuan (邱梓銓),ahq Fighter,Bot,Taiwan,16.0
30,Domo,Kung Yu-Te (龔育德),ahq e-Sports Club,Coach,Taiwan,
31,Draw,Liao Jia-Sing (廖佳興),J Team 2,Sub,Taiwan,19.0
32,Dreamer,Tseng Chien-Hung (曾建泓),MachiX,Support,Taiwan,27.0
33,DreamSha,Fei Chuan-Yuan (費雋元),Fish Dive Team,Top,Taiwan,22.0
34,Driver,Shen Zong-Hua (沈宗樺),J Team 2,Jungler,Taiwan,17.0
35,Eason,Yin Yi-Shen (尹以伸),G-Rex,Support,Taiwan,21.0
36,Elric,"Tsang ""Derek"" Dek Lam (曾德霖)",F-Soul Esports,Jungler,Hong Kong,19.0
37,Empt2y,Anson Leung Tsz Ho (梁子皞),G-Rex,Jungler,,21.0
38,Enso,Liang En-Shuo (梁恩碩),Flash Wolves,Jungler,Taiwan,
39,Epic,Wu Chun Hin (胡晉軒),G-Rex,Jungler,Hong Kong,20.0
40,Error,Sit Chong Fai (薛仲輝),Hong Kong Attitude,Mid,Macao,
41,Fcola,Chan Hai Le (陳海樂),Kowloon Esports,Jungler,Hong Kong,19.0
42,FoFo,Chu Chun-Lan (朱駿嵐),J Team,Mid,Taiwan,20.0
43,Gengar,Li Chung-Chieh (李仲傑),Alpha Esports,Jungler,Taiwan,21.0
44,GreenTea,Tsai Shang-Ching (蔡尚精),RNG,Coach,Taiwan,28.0
45,Hana,Chen Chih-Hao (陳志豪),J Team,Jungler,Taiwan,22.0
46,Hanabi,Su Chia-Hsiang (蘇嘉祥),Flash Wolves,Top,Taiwan,18.0
47,HuSha,Huang Zi-Wei (黃梓維),ahq Fighter,Jungler,Taiwan,18.0
48,Jay,Li Chieh (李杰),Bilibili Gaming,Coach,Taiwan,26.0
49,JimieN,Tseng Hao-Chun (曾浩鈞),Kowloon Esports,Mid,Taiwan,
50,JKaE,Cheuk Kit Chan (陳卓傑),Team Orion,Top,Hong Kong,29.0
51,JunJia,Yu Chun-Chia (余峻嘉),SuperEsports,Jungler,Taiwan,16.0
52,K,Ke Kai-Sheng (柯凱盛),MAD Team,Support,Taiwan,23.0
53,Kabuu,Chan Chak Kin (陳澤鍵),Kowloon Esports,Jungler,Hong Kong,
54,Kaiwing,Ling Kai Wing (凌啟榮),Hong Kong Attitude,Support,Hong Kong,22.0
55,Karsa,Hung Hao-Hsuan (洪浩軒),RNG,Jungler,Taiwan,22.0
56,Kelian,Yeh Chung-Yao (葉仲耀),G-Rex Infinite,Top,Taiwan,20.0
57,Kino,Wu Hsin-Jung (吳欣榮),ahq e-Sports Club,Support,Taiwan,
58,KL,So Ka Lung (蘇家隆),F-Soul Esports,Jungler,Hong Kong,18.0
59,Koala,Lin Chih-Chiang (林志強),J Team,Support,Taiwan,23.0
60,Kongyue,Hsiao Jen-Tso (蕭任佐),MAD Team,Jungler,Taiwan,19.0
61,Lacunae,Huang Syu-Chen (黃頊宸),G-Rex Infinite,Top,Taiwan,16.0
62,Leaky,Chang Tsu-Chia (張祖嘉),Alpha Esports,Top,Taiwan,18.0
63,LeLe,Hsieh Yi-Shan (謝宜珊),Logi-A Team,Bot,Taiwan,
64,Liang,Wu Liang-Te (吳亮德),MAD Team,Top,Taiwan,20.0
65,Lilv,Chen Chin-Han (陳縉翰),J Team,Bot,Taiwan,20.0
66,LOFS,Lam Ka Chun (林嘉俊),PandaCute,Coach,Hong Kong,
67,M1ssion,Chen Hsiao-Hsien (陳孝銜),Hong Kong Attitude,Mid,Taiwan,23.0
68,MadWolf,Chung Yen-Chen (鍾彥宸),Flash Wolves,Coach,Taiwan,
69,Maple,Huang Yi-Tang (黃熠棠),Suning,Mid,Taiwan,21.0
70,MeLTKeN,Yuen Sing Wai (袁成偉),Now You See Me,Bot,Hong Kong,
71,MnM,Wong Ka Chun (王嘉駿),Hong Kong Attitude,Bot,Hong Kong,
