,IGN,Name,Team,Role,Country,Age
0,1an,Ian Emmanuel Espinosa Vallejo,Arctic Gaming Mexico,Bot,Mexico,
1,Acce,Emmanuel Juárez,Rainbow7,Top,Argentina,23.0
2,Acerola,Daniel Villalobos Muñoz,XTEN Mexico,Jungler,Costa Rica,
3,Aibreik,Brayan Arvizú Benavidez,OG Esports,Top,Costa Rica,19.0
4,Aione,Sergio Cuartas Agudelo,Wild Jaguars,Jungler,Colombia,22.0
5,Airdex,Adrián Hernández Ureña,Dark Quality,Jungler,Costa Rica,
6,Akari,Carlos Calderón,Infinity Esports,Coach,Mexico,26.0
7,Akunma,Miguel Aylas,Pixel Esports Club,Top,Peru,21.0
8,Alfred,Alfredo Damian González,Coliseo Dragons,Bot,Argentina,22.0
9,Aloned,Tomás Díaz Valiente,Furious Gaming,Top,Chile,19.0
10,Apokalipse,Mario Tomas Pessoa Granzella,Feint Gaming,Bot,Brazil,20.0
11,Aquasonic,Tadeo Forestieri,Nocturns Gaming,Top,Argentina,18.0
12,Arce,Diego Arce Chang,Infinity Esports,Support,Peru,
13,Arfyss,Nicolás López,Kaos Latin Gamers,Top,Chile,19.0
14,Athyz,Alejandro Núñez,Loto Gaming,Jungler,Colombia,22.0
15,AzeR,Ricardo Ernesto Varas Rodríguez,FroztFire Team,Bot,Chile,19.0
16,Baltica,Bastián Osvaldo Segura Zambrano,Dark Crows,Jungler,Chile,20.0
17,Baula,Alejandro Serrano,XTEN Esports,Support,Costa Rica,21.0
18,Betatwinz,Dario Betancourt,Estral E-Sports,Support,Mexico,
19,Bless,Brandon Rodriguez Sánchez,Another Troll Team,Jungler,Costa Rica,23.0
20,Buggax,Mateo Alejandro Aroztegui Zamora,Isurus Gaming,Top,Uruguay,20.0
21,Burrito,Francisco Cherres,Rebirth eSports,Top,Chile,19.0
22,Caos,Nicolás Andrés Guzmán Cortes,UC Esports,Support,Chile,
23,Capri,Javiera Orellana,Isurus Gaming,Streamer,Chile,
24,Careta,Stephanie Huartamendía,Rainbow7,Support,Uruguay,21.0
25,CaritaTriste,Héctor Jaramillo,XTEN Mexico,Bot,Mexico,
26,Chevis,Sebastian Espinosa Barrera,Anáhuac Esports,Jungler,Mexico,19.0
27,Choisix,Steven Cordero,Rebirth eSports,Support,Costa Rica,23.0
28,Chomi,Jose Miguel Díaz,MADL Colombia,Bot,Colombia,19.0
29,Chunilda,Camila Benavides,Riot Games Inc.,Caster,Chile,27.0
30,Cody,Sebastián Quispe,Azules Esports,Mid,Chile,17.0
31,Comestible,Matías Federico González,Isurus Academy,Support,Argentina,23.0
32,Corsario,Óscar Aliente,Riot Games Inc.,Caster,Chile,29.0
33,Cotopaco,Sergio Silva,Infinity Esports,Mid,Colombia,20.0
34,Crecre,Gabriel Grimaldi,XTEN Esports,Support,Venezuela,20.0
35,Crus,Juan Cruz López,UC Esports,Bot,Argentina,23.0
36,Cuest1on,Jesús González,Hafnet eSports,Bot,Chile,18.0
37,Darp,Daniel Ruales,Infinity Colombia,Mid,Colombia,
38,DCStar,Carlos Méndez Mayoral,E-STORM,Support,Mexico,24.0
39,Delawen,Andrey Rodríguez,Another Troll Team,Bot,Costa Rica,23.0
40,Demo,Claudio Velásquez,Mighty Shadow,Coach,Chile,31.0
41,Demy,Iván Maldonado,Estral E-Sports,Bot,Mexico,
42,Destiny,Bastian Rodriguez Heresmann,Azules Esports,Top,Chile,17.0
43,Don Cholo,Sergio Salas,Gaming Gaming,Owner,Mexico,
44,Doppel,David Cruz Reyes,Another Troll Team,Coach,El Salvador,23.0
45,Drev,Andrés Navarro Monge,Vortex Gaming,Mid,Costa Rica,21.0
46,Dye,Gerson Castaño,Rainbow7,Coach,Colombia,
47,EdiWeasley,Edgar Alvídrez,x6tence Mexico,Mid,Mexico,
48,Emets,Matias Bastias,Valorous,Bot,Chile,20.0
49,Emp,Benjamín Ramírez,Furious Gaming,Mid,Chile,22.0
50,Fahrenheit,Cristian Franco Martinez,Riot Games Inc.,Caster,Colombia,28.0
51,Fear,Joel Reyna,Nocturns Gaming,Mid,Argentina,23.0
52,Feitan,Felipe Marín Rojas,Azules Esports,Support,Chile,20.0
53,Filopo,Eduardo Acuña,9z Team,Mid,Chile,23.0
54,Fix,Nicolás Sayago,XTEN Esports,Bot,Argentina,23.0
55,Focho,Matías Jones Porto Pleticosic,Furious Gaming,Bot,Chile,
56,Follow,Ignacio Anderson,Isurus Academy,Jungler,Argentina,
57,Force,Josué Ccasani,Instinct Gaming,Top,Peru,
58,FraGio,Giovanne Huamán García,Nova Dragons,Jungler,Peru,26.0
59,Freshx,Ibrahin López Sanchez,eMonkeyz,Jungler,Venezuela,22.0
60,Froststrike,Lucas Espíndola,9z Team,Jungler,Chile,
61,Galixx,Guido Herrera,Engine Gaming,Support,Argentina,
62,Gankkkk,Andrés Enrique Castro,Undead Gaming,Jungler,Argentina,21.0
63,Gastruks,Gastón Núñez,Nocturns Gaming,Support,Argentina,19.0
64,Gato Mojado,Neithan Chavarria Araya,Kokoro No Senshi,Support,Costa Rica,22.0
65,Gavotto,Omar Gavotto,Cream Esports Mexico,Bot,Mexico,
66,Genthix,Mariano Polonsky,Rainbow7,Support,Argentina,28.0
67,Glory,Matías Maldonado,Valorous,Support,Chile,23.0
68,Godv,Matías Cesaretti,Undead Gaming,Mid,Argentina,19.0
69,Gralou,Emanuel Trasande,Coliseo Dragons,Support,Argentina,23.0
70,Grell,Jesús Loya,Vivo Keyd,Jungler,Mexico,
71,Grimm,Mario José Bueno,MADL Mexico,Bot,Mexico,19.0
72,Guardián,Leonardo de la Torre,XTEN Mexico,Top,Mexico,
73,Gweiss,Sebastian Buitrago,VAULT,Bot,Colombia,22.0
74,HaiL,Christian Orta,Team C3,Support,Panama,25.0
75,Harm,Fernando Rivera,Ventus Esports,Mid,Puerto Rico,
76,Hate,Cristian Puerto,Infinity Colombia,Bot,Colombia,18.0
77,Hayha,Renzo Sebastián Quatrocchi,Furious Academy,Support,Argentina,21.0
78,Helior,Felipe Alejandro Pastenes Ayca,Legatum,Owner,Chile,
79,Hide on bronze,Brandon Hernández Miranda,Dark Quality,Mid,Costa Rica,
80,Hobbler,Felipe Tobón,MADL Colombia,Mid,Colombia,19.0
81,Horus,Facundo Hernán Utrero,Nocturns Gaming,Bot,Argentina,20.0
82,IceBox,Bastián Nicolás Almonacid,Dark Crows,Top,Chile,21.0
83,Ichiik46,Maximino Llanas,Arctic Gaming Mexico,Top,Mexico,
84,Icytower,Marcelo Barba,Cream Esports Mexico,Mid,Mexico,20.0
85,Jauny,Jauny Vargas,Infinity Costa Rica,Top,Costa Rica,18.0
86,JeiiZe,Juan Carlos Rojas Coffey,x6tence Mexico,Top,Mexico,23.0
87,JJ EX,Alberto Laveaga,Riot Games Inc.,Caster,Mexico,
88,Josedeodo,Brandon Joel Villegas,Furious Gaming,Jungler,Argentina,19.0
89,Jujo,Juan José Rodríguez,VAULT,Top,Colombia,20.0
90,Julaxe,Julián Escobar,MADL Colombia,Jungler,Colombia,24.0
91,Kanra,Alessandro Cabides,Nova Dragons,Top,Peru,21.0
92,Kaoz,Nicolás Daniel Gutiérrez Vera,Rebirth eSports,Bot,Chile,20.0
93,Kazetha,Julián Osvaldo Ruarte,Feint Gaming,Jungler,Argentina,21.0
94,KDV,Nicolás Diaz Villagran,Azules Esports,Bot,Chile,
95,Keisch,Fabricio André Arce Hernández,Dark Quality,Bot,Costa Rica,
96,Keoo,Yair Campos,XTEN Mexico,Support,Mexico,
97,KerchaK,Facundo Giménez,Infinity Colombia,Coach,Argentina,22.0
98,Khynm,Cristian Gabriel Alonso Roussy,Cream Esports,Jungler,Argentina,24.0
99,Kiefer,Nicolás Rivero,Rebirth eSports,Mid,Chile,18.0
100,KiIIer,Cristian Marcelo Vasco Estupiñán,Dark Quality,Jungler,Ecuador,
101,Kimi,Cristian Daniel Aparicio,9z Team,Bot,Argentina,22.0
102,Kindle,Juan Mejia,MADL Colombia,Bot,Colombia,20.0
103,Kindless,Benjamín Fuenzalida Barrera,Pixel Esports Club,Bot,Chile,20.0
104,Koughi,Victor Manuel Yever,Azules Esports,Jungler,Chile,20.0
105,Kouke,Jorge Eduardo Bravo González,Instinct Gaming,Jungler,Peru,24.0
106,KouZZe,Nicolás Jara,Isurus Gaming,Bot,Chile,21.0
107,Kovako,Daniel Duarte,Wild Jaguars,Bot,Colombia,24.0
108,Krim,Juan Ignazio Vaccaro,Coliseo Dragons,Mid,Argentina,21.0
109,Kryzpo,Matias Daniel Cifuentes Castillo,Dark Horse,Top,Chile,18.0
110,Kunou,Sebastián Rendón,Wild Jaguars,Support,Colombia,18.0
111,Le Smart,Facundo Horacio Canteros,Cream Esports,Mid,Argentina,24.0
112,Legion,Jorge Valencia,Infinity Esports,Manager,Mexico,28.0
113,Leza,Francisco Rubén Jara Barragán,Rainbow7,Mid,Mexico,
114,Lhazurt,Nehuen Banchi,Isurus Academy,Mid,Argentina,
115,Limitationss,Alvin Alvarez,Kaos Latin Gamers,Bot,Mexico,
116,LiquidDiego,Diego Darío Padilla Reséndiz,Cream Esports Mexico,Jungler,Mexico,
117,LocoDan,Danilo Quintana Santos,Another Troll Team,Mid,El Salvador,19.0
118,Lukwer,Saul Alejandro Sánchez,E-STORM,Mid,Mexico,22.0
119,Lulos,Jack Yang Huang,Dash9 Gaming,Owner,Taiwan,
120,MadBlade,Steven Araya Méndez,Infinity Costa Rica,Support,Costa Rica,21.0
121,Magaña,Brayner Umaña,Another Troll Team,Bot,Costa Rica,22.0
122,Maggatt,Jefferson Nezbeth,TopHard Esports,Jungler,Costa Rica,
123,Maick,Michael Cordero,TopHard Esports,Bot,Costa Rica,
124,MANTARRAYA,Juan Ignacio Abdón,XTEN Esports,Top,Uruguay,
125,Manu,Manuel Villa,Furious Gaming,Bot,Puerto Rico,
126,MarioMe,Mario Reyes,Rainbow7,Manager,Mexico,25.0
127,Mataz,Julián Cárdenas Sanchez,MADL Mexico,Jungler,Mexico,18.0
128,Mawuf,Martín Lorenzo Botero,Chi Army,Mid,Colombia,20.0
