,IGN,Name,Team,Role,Country,Age
0,Aladoric,Ryan Gregory Richardson,Avant Gaming,Support,Australia,
1,Alani,Aaron Brown,Chiefs Academy,Jungler,Australia,
2,Anderu,Andrew Baihn,Dire Cubs,Bot,Australia,
3,Artek,Hone Collier,Emprox,Support,Australia,
4,Babip,Leo Romer,MAMMOTH,Jungler,Australia,
5,Beats,David Nguyen-Dang,Chiefs Academy,Mid,Australia,
6,BioPanther,Brandon Alexander,Dire Wolves,Top,Australia,
7,Bushybooboo,Huy Huynh,Bombers Academy,Support,New Zealand,
8,Cadence,Hugo Chang,UTS Esports,Bot,Hong Kong,
9,Candy Man,Jarrod Cann,UQ Union,Jungler,Australia,
10,Ceres,Evan Mascarenhas,ORDER Academy,Top,Australia,
11,Chazz,Jesse Mahoney,Legacy Esports,Mid,Australia,
12,Chippys,Ryan Short,Avant Gaming,Top,New Zealand,
13,ChuChuZ,Aaron Bland,ORDER,Coach,Australia,22.0
14,Chungy,Jerome Chung,Legacy Genesis,Top,Australia,
15,Claire,Brandon Nguyen,Chiefs Esports Club,Mid,Australia,21.0
16,Corporal,Ian Pearse,Dire Cubs,Support,Australia,
17,Crayzee,William Dobie,Legacy Esports,Support,Australia,
18,Cuden,Mike Le,MAMMOTH,Manager,Australia,23.0
19,Cupcake,Andy van der Vyver,Chiefs Esports Club,Coach,New Zealand,24.0
20,Curtis,Curtis Morgan,Dire Wolves,Coach,Australia,23.0
21,Decoy,Daniel Ealam,Gravitas,Support,New Zealand,
22,Denian,James Goddard,Legacy Esports,Coach,Australia,
23,Destiny,Mitchell Shaw,MAMMOTH,Support,Australia,21.0
24,Dragku,Dragon Guo,Dire Cubs,Top,Australia,
25,Draqon,Jeremy Souki,Legacy Genesis,Bot,Australia,
26,Dream,Ronan Swingler,ORDER,Bot,Australia,
27,EGym,Bryce Paule,Riot Games Inc.,Caster,Australia,25.0
28,Eloh,Jackson De Jonge,Avant Academy,Top,Australia,22.0
