,IGN,Name,Team,Role,Country,Age
0,404,Zhi Choong Sheng,Team Anything,Support,Malaysia,
1,Aimed,Jayther Sorongon,ISC Pro Team,Support,Philippines,
2,Ancafe,Rapakorn Nilawan (เลปกร นิลวัลย์),Mythus,Jungler,Thailand,
3,Andre,Andre Culham,Team nxl,Bot,Indonesia,
4,Archeny,Nutchanon Yailuang (ณัฐชนน ใหญ่หลวง),DeToNator,Mid,Thailand,
5,Ares,Alvin Tan Chong Siang,Rayning Jelly Bears,Support,Singapore,
6,Arisen,Miguel Pison,ISC Pro Team,Top,Philippines,
7,ArrHedge,Chan Roong Han (曾笼晗),KL Hunters,Mid,Malaysia,
8,Ataraxia,Xue Guo Yong,Not Your Zone,Top,Singapore,
9,Atlas,Keith Liem Yan Xian,Team Corgi,Jungler,Singapore,
10,Atup,Khairul Amirin bin Kamarulnizam,FrostFire,Top,Malaysia,
11,Azure,Noel Christopher Cuadra,SteelWolves Gaia,Top,Philippines,
12,Bellbee,Pasit Keattichaidumrong,Mythus,Mid,Thailand,23.0
13,Blaire,Lee Chen Ming,Ah Bob n Friend,Top,Singapore,
14,Bravo,Wira Nirda,Bigetron E-Sports,Bot,Indonesia,
15,Burst,Jhaymar Garay,TNC Pro Team,Jungler,Philippines,
16,CatType,Tanpong Tungchoksongchai (แทนพงศ์ ตั้งโชคทรงชัย),Till Dawn,Mid,Thailand,22.0
17,Chalice7,Rj Saligumba,SteelWolves Gaia,Top,Philippines,
18,Ciela,Timothy Lim Chin Kiat,Resurgence,Bot,Singapore,
19,CraliX,Wayne Aw,Resurgence,Jungler,Singapore,
20,Cruzher,Bayu Putera Sentosa,Headhunters,Jungler,Indonesia,
21,Dani,Phillex Bulanadi,ISC Pro Team,Bot,Philippines,
22,Demon,Richard Lara,TNC Pro Team,Bot,Philippines,
23,DoeDoii,Edrian Brancia,Liyab Esports,Jungler,Philippines,
24,Dreams,Rachmad Wahyudi,Bigetron E-Sports,Support,Indonesia,
25,Eren,Khor Yih Jiet,Team Anything,Top,Malaysia,
26,Eternal,Chen Yi-Hui,Resurgence,Jungler,Singapore,
27,Exosen,Eric Allen Gubatan,Liyab Esports,Mid,Philippines,
28,eyeBrows,Chan Zhi Chong,Team Anything,Jungler,Malaysia,
29,G4,Nuttapong Menkasikan (นัฐพงษ์ เม้นกะสิการ),MEGA,Mid,Thailand,21.0
30,Gov,Govher Tallulembang Madethen,The Jokes on You,Support,Indonesia,
31,H4TE,Josef Adrian Cabero,Imperium Pro Team,Jungler,Philippines,
32,Hamezz,James Santos,Liyab Esports,Support,Philippines,
33,Haze,Arrell Nulud,TNC Pro Team,Mid,Philippines,
34,Henry,Henry Reynard,Capital Esports,Mid,Indonesia,22.0
35,Ikaros,Richard Espejo,TNC Pro Team,Top,Philippines,
36,InwProjectONE,Naputtr Chiaravanond,U. of Illinois,Jungler,Thailand,
37,Ivalice,Cedrik Santos,ArkAngel,Top,Philippines,
38,Jensen,Jensen Goh (吳乾生),Splyce Vipers,Coach,Singapore,
39,JLKC,Jacob Low Kin Cheong,ORDER Academy,Mid,Malaysia,
40,JokerWei,Tan Jia Wei,Climax,Mid,Malaysia,
41,Kaigu,Jon Lance Hernandez,Liyab Esports,Top,Philippines,
42,Kanji,Ren Motomitsu,ISC Pro Team,Mid,Japan,
43,KazeTAR,Weeravat Baolorphet (วีรวัฒน์ เบ้าหล่อเพชร),DeToNator,Bot,Thailand,
44,Kirino,Lee Kai Wen (李凯文),Team Empire,Mid,Malaysia,18.0
45,Kra,Charles Teo Yao Wei,Sovereign,Support,Singapore,
46,Light,Roybie Segovia,Imperium Pro Team,Mid,Philippines,
47,Lloyd,Juckkirsts Kongubon (จักรกฤษณ์ คงอุบล),MEGA,Bot,Thailand,23.0
48,Luffy,Vandy Nugraha,The Jokes on You,Top,Indonesia,
49,Lunic,Anton Naranjo,ISC Pro Team,Coach,Philippines,
50,Marky,Marc Ilagan,Imperium Pro Team,Bot,Philippines,
51,Marsh,Jerome Martin,ISC Pro Team,Top,Philippines,
52,Meng,Romeo Benedicto,SteelWolves Gaia,Jungler,Philippines,
53,Mish,Mishael John Abella,SteelWolves Gaia,Bot,Philippines,
54,Nickstah,Nickelson Yanga,ArkAngel,Jungler,Philippines,
55,Noy,Metis Wongchoosee (เมธิส วงศ์ชูศรี),Till Dawn,Jungler,Thailand,22.0
56,Oceans11,Tobias Randy Varianto,Team nxl,Jungler,Indonesia,
57,Orca,Darren Goh,Ah Bob n Friend,Mid,Singapore,
58,OzoraVeki,Poon Kok Sing (潘国昇),Climax,Support,Malaysia,21.0
59,Pain,Blaise Damasco,SteelWolves Gaia,Mid,Philippines,
60,Popi,Justin Banusing,ISC Pro Team,Owner,Philippines,
61,Porrabox,Rasya Arga Wisista,Armored Project,Mid,Indonesia,18.0
62,Potter,Thananon Thirawat (ธนานนท์ ธิราวัฒน์),DeToNator,Top,Thailand,
63,QaspieL,Eric Sia Sze Pin,Team Empire,Jungler,Malaysia,24.0
64,Rapier,Benjamin Lim,Sovereign,Support,Singapore,
65,Raux,Jordan Pamintuan,ArkAngel,Support,Philippines,23.0
66,Raven,Kenneth Goh Kai Yang,Resurgence,Mid,Singapore,
67,Rayz,Raymond Cheong (张家荣),Climax,Bot,Malaysia,
68,Rebengga,Kurt Cristobal,Team Red,Jungler,Philippines,26.0
69,Renrin,Kanitin Pataraniyom (คณิติน ภัทรนิยม),Mythus,Top,Thailand,
70,Rexion,Jerrell Wong Kien Hoe,Climax,Top,Malaysia,
71,Ribena,Joshua Chan Mun Wei (曾民伟),Team Empire,Bot,Malaysia,24.0
72,Rich,Warich Kittiwattanawong (วริชญ์ กิตติวัฒนาวงศ์),DeToNator,Support,Thailand,
73,Rockky,Atit Phaomuang (อธิศ เผ่าเมือง),MEGA,Top,Thailand,
74,rubeN,Ruben Sutanto,Devoticore,Top,Indonesia,
75,Sayonara,Leomar J. Sayo,ISC Pro Team,Jungler,Philippines,
76,Sega,Muhammad Adhitya Fadilla,Capital Esports,Top,Indonesia,21.0
77,SekAlive,Jakkid Krinbai (จักรกฤษณ์ กลิ่นใบ),DeToNator,Jungler,Thailand,23.0
78,Shadow,Rogie DelaCruz,Imperium Pro Team,Support,Philippines,
79,Shine,Tam See Kheing,Team Empire,Top,Malaysia,
80,Shinsekai,Tan Yew Ming (陈煜明),Resurgence,Top,Singapore,
81,Shiro,Adrian Lee Meng Xuan,Team Empire,Top,Malaysia,20.0
82,Shout,Gwyn Jaranahut (กวิลวร์ จรณะหุต),Mythus,Bot,Thailand,
83,Sly,Lanz Andee Chu,SteelWolves Gaia,Support,Philippines,
84,SoulKenJiz,Kasaemsan Jamroonsirirungrote (เกษมสันต์ จำรูญศิริรุ่งโรจน์),Mythus,Support,Thailand,
85,SOUPerior,Calvin Yang Quok Vern,KL Hunters,Support,Malaysia,21.0
86,Spade,Frederick Tan,Bigetron E-Sports,Coach,Indonesia,
87,Tamsu,John Somollo,Acclaim EmpireX,Jungler,Philippines,
88,Tarma,Dindin Lambert Lim,Steelwolves Icarus,Jungler,Philippines,
89,Tgee,Gerald Gianne Gelacio,Liyab Esports,Support,Philippines,
90,Trebor,Robert Dan Mansilungan,ArkAngel,Mid,Philippines,
91,WarLocK,Pawat Ampaporn (ภวัต อัมพาภรณ์),MEGA,Coach,Thailand,
92,Xare,Jonathan Chan Mun Shum (曾民森),Team Empire,Support,Malaysia,24.0
93,XDXP,Keiya Laureta,Bigetron E-Sports,Jungler,Philippines,
94,Yukz,Yuki Tsuchiya,Manila Eagles,Jungler,Philippines,
95,z0ey,Iyakup Promboot (ไอยคุปต์ พรหมบุตร),Capital Esports,Coach,Thailand,18.0
96,Zancazor,Luqman Hakim,Mythus,Jungler,Singapore,
97,Zensho,Keefe Jyro Pascual,ArkAngel,Bot,Philippines,
98,Zikoo,Ziko Ramadhan,Bigetron E-Sports,Jungler,Indonesia,
99,Zinnia,Panuwat Chaianan (ภาณุวัฒน์ ไชยอนันต์),Underdog,Support,Thailand,20.0
