,IGN,Name,Team,Role,Country,Age
0,A Seal,Emre Hatem Cinipi,DP Academy,Jungler,Turkey,
1,Absolute,Batuhan Okta,SUP Academy,Support,Turkey,
2,Agurin,Muhammed Kocak,Fenerbahçe Academy,Jungler,Germany,
3,Alaracle,Alara Taşkesen,İstanbul Wild Cats,Jungler,Turkey,
4,Algos,Ersin Sertbaş,İstanbul Wild Cats,Support,Turkey,
5,Aligan,Yaşar Ali Can,İstanbul Wild Cats,Coach,Turkey,22.0
6,Armut,İrfan Berk Tükek,Royal Youth,Top,Turkey,
7,Berentt,Berent Börklü,Dark Passage,Mid,Turkey,
8,Black,Murat Ulukan Ayaz,DP Academy,Bot,Turkey,
9,Blue,Ersin Gören,1907 Fenerbahçe,Mid,Belgium,
10,Bolulu,Onur Can Demirol,1907 Fenerbahçe,Mid,Sweden,
11,Broken Blade,Sergen Çelik,Team SoloMid,Top,Germany,19.0
12,Chibi,Sena Aladağ,İstanbul Wild Cats,Support,Turkey,
13,Chosen,Yunus Baş,RY Academy,Jungler,Turkey,
14,Closer,Can Çelik,Royal Youth,Jungler,Turkey,
15,Cognac,Ömer Faruk Ünsal,Galatasaray Esports,Support,Turkey,
16,Coldraa,Samet Safran,Galakticos Academy,Bot,Turkey,
17,Creation,Seyit Utkan Polat,Galakticos Academy,Top,Turkey,
18,CristoL,Şükrü Aykut Yeşilkaya,Team AURORA,Coach,Turkey,
19,Crystal,Atakan Aydın,Dark Passage,Jungler,Turkey,26.0
20,Cuce,Oğuzhan Suiçmez,Fenerbahçe Academy,Top,Turkey,
21,Doctor,İbrahim Karaaslan,SuperMassive,Coach,Turkey,24.0
22,Duernte,Fatih Akyüz,AURORA Academy,Mid,Turkey,
23,EliWood,Cenk Parlak,İstanbul Wild Cats,Support,Turkey,
24,Elramir,Taha Yurdagüven,SUP Academy,Jungler,Turkey,
25,fabFabulous,Asım Cihat Karakaya,SuperMassive,Top,Turkey,23.0
26,Farfetch,Berk Badur,Galatasaray Esports,Support,Turkey,20.0
27,Hades,Volkan Dinçer,1907 Fenerbahçe,Bot,Sweden,19.0
28,Heisn,Ahmet Can Arslan,BAU Esports,Coach,Turkey,26.0
29,Hexagon Sun,Berk Gocay,Beşiktaş.OH,Manager,Turkey,29.0
30,His,Burak Sunal,RY Academy,Coach,Turkey,24.0
31,HolyPhoenix,Anıl Işık,Beşiktaş Esports,Bot,Turkey,
32,ili,Jack Langford,Bursaspor Esports,Coach,Turkey,
33,Invoker,Hüseyin Sökmen,Bursaspor Academy,Support,Turkey,
34,j1mmy,Bertuğ Bayrak,BAU Esports,Bot,Turkey,21.0
35,Japone,Bahadır Çolak,Bursaspor Esports,Support,Turkey,
36,Joker,Onurcan Başkurt,İstanbul Wild Cats,Bot,Turkey,
37,Juiz,Emre Öztürk,Bursaspor Academy,Bot,Turkey,
38,Juuzou,Barış Karatop,Dark Passage,Top,Turkey,19.0
39,Kairos,Gürsu Kömürcü,Beşiktaş Esports,Support,Turkey,
40,Kaori,Muhammed Hasan Şentürk,SUP Academy,Bot,Turkey,17.0
41,Kireas,Tunahan Kevioğlu,Beşiktaş Esports,Jungler,Denmark,18.0
42,Kituruken,Umut Ceylan,Dark Passage,Jungler,Turkey,
43,Kofte,Emre Akça,İstanbul Wild Cats,Mid,Turkey,
44,Ksaez,Yunus Emre Şahin,RY Academy,Mid,Turkey,
45,kumru,Kerem Kırgöz,Galatasaray Academy,Jungler,Turkey,
46,Lethilion,İbrahim Onur Aksu,SuperMassive,Owner,Turkey,29.0
47,Lieverytime,Burcu Bilgin,IWC Academy,Bot,Turkey,
48,Luana,Berkant Kayhan,SUP Academy,Top,Turkey,
49,Luger,Fatih Güven,1907 Fenerbahçe,Bot,Turkey,17.0
50,Lynx,Furkan Arıkovan,Dark Passage,Coach,Turkey,
51,Madly,Ferhat Can Atma,Team AURORA,Top,Turkey,
52,Madness,Gökhan Uçar,Galatasaray Esports,Bot,Turkey,
53,magmag,Ahmet Arda Ayan,Galakticos Academy,Jungler,Turkey,
54,Matilda,Cengizhan Yavuz,RY Academy,Top,Turkey,
55,Mayhem,Süleyman Serkan Tekeş,Beşiktaş Esports,Top,Turkey,
56,MGX,Mert Güvercin,Galatasaray Esports,Mid,Turkey,
57,Minor,Onur Yıldırım,Beşiktaş Academy,Support,Turkey,
58,Mojito,Berk Kocaman,Team AURORA,Jungler,Turkey,21.0
59,Morgen,Orçun Tunç,AURORA Academy,Bot,Turkey,
60,Muscle,Deniz Ünal,We Love Gaming,Jungler,Turkey,
61,Near,Yuşa Çınar,AURORA Academy,Top,Turkey,
62,Neos,Önder Akbaşoğlu,Beşiktaş Academy,Bot,Turkey,
63,Nova,Ahmet Yılmaz,Beşiktaş Esports,Coach,Turkey,
64,olia,Murat Mert İlgün,Bursaspor Esports,Top,Turkey,21.0
65,Only35,Emin Aydın,1907 Fenerbahçe,Support,Turkey,19.0
66,Ozgur,Can Özgür Kara,Galakticos,Manager,Turkey,
67,Padden,Ege Acar Koparal,Team AURORA,Bot,Turkey,23.0
68,Pades,Serdar Padeş,SuperMassive,Coach,Turkey,
69,Pbd,Alihan Ocaklı,Dark Passage,Support,Turkey,
70,Petrichor,Yusuf Berk Canefe,RY Academy,Support,Turkey,
71,psychoferret,Hakan Mert Çakmak,IWC Academy,Jungler,Turkey,
72,Psyduck,Onur Öktem,BAU Esports,Mid,Turkey,22.0
73,Pulse,Ali Aybirdi,Galakticos Academy,Mid,Turkey,
74,Ragner,Onurcan Aslan,Galatasaray Esports,Top,Turkey,
75,Rau,Ömer Okumuş,Vikingekrig Esports,Mid,Turkey,
76,Ray Lefty,Işın Solak,Bursaspor Academy,Jungler,Turkey,
77,Rider,Yusuf Kaan Hacıbaltalı,AURORA Academy,Coach,Turkey,25.0
78,Robin,Emray Kurt,Beşiktaş Esports,Jungler,Turkey,
79,Robogod,Barış Mete Sevinç,İstanbul Wild Cats,Coach,Turkey,
80,Rogu,Burak Eryol,Royal Youth,Streamer,Turkey,24.0
81,Roulette,Mesut Balı,İstanbul Wild Cats,Jungler,Turkey,18.0
82,Ruvelius,Mustafa Berk Baraklı,Galakticos,Bot,Turkey,19.0
83,Secaf Reis,Sercan Çevikoğlu,SuperMassive,Manager,Turkey,23.0
84,Smoke,Mertkan Salman,Beşiktaş Esports,Top,Turkey,
85,Sparz,Ozan Samican Özbay,DP Academy,Support,Turkey,
86,StarScreen,Soner Kaya,İstanbul Wild Cats,Top,Turkey,
87,Stomaged,Furkan Güngör,SuperMassive,Jungler,Turkey,
88,Sylchasie,Zeynep Su Kaykılmaz,İstanbul Wild Cats,Mid,Turkey,
89,Syron,Mertcan Çiçekçi,Galakticos Academy,Support,Turkey,
90,Thaldrin,Berke Demir,SuperMassive,Coach,Turkey,
91,Theokoles,Muhammed Işık,P3P eSports,Manager,Turkey,
92,Tolerant,Barış Çepnioğlu,Royal Youth,Support,Germany,19.0
93,Trix,Mehmet Furkan Çoruk,Galakticos,Jungler,Turkey,
94,Turkinator,Aykut Emre Başkal,1907 Fenerbahçe,Coach,Turkey,
95,Umut,Umut Atlı,Bursaspor Esports,Mid,Turkey,19.0
96,Unex,Yunus Emre Dilek,İstanbul Wild Cats,Bot,Turkey,
97,UNMANAGABLE,Mehmet Furkan Ozer,DP Academy,Mid,Turkey,
98,Uthenera,Şükrü Şentürk,Radiance,Streamer,Turkey,28.0
99,Uzibo,İbrahim Kul,RY Academy,Bot,Turkey,
100,WaenA,Berşan Aydın,SUP Academy,Mid,Turkey,19.0
101,Wasteee,Serkan Doğan,Dark Passage,Bot,Turkey,
102,WayOfWade,Doğukan Kula,Bursaspor Academy,Mid,Turkey,
103,Xavian,Doğukan Yağcı,BAU Esports,Bot,Turkey,20.0
104,Xeanfun,Berat Gürsolmaz,Bursaspor Academy,Top,Turkey,
105,Xihultas,Mert Tanrıverdi,Royal Youth,Manager,Turkey,
106,xKenzuke,Serkan Atilgan,Galakticos,Mid,Germany,
107,Zeitnot,Berkay Aşıkuzun,SuperMassive,Bot,Turkey,24.0
