,IGN,Name,Team,Role,Country,Age
0,Aihgn,Võ Hồng Nghĩa,LP Gaming,Jungler,Vietnam,
1,Artemis,Trần Quốc Hưng,Sky Gaming,Bot,Vietnam,18.0
2,Artifact,Nguyễn Văn Hậu,Friends Forever,Mid,Vietnam,18.0
3,BaRoiBeo,Phan Tấn Trung,Academy SBTC,Top,Vietnam,30.0
4,bByYoO,Đinh Tấn Tài,LP Gaming,Support,Vietnam,
5,BeeOne,Vũ Tuấn Phi,Maximal,Bot,Vietnam,
6,Beyond,Trương Vĩnh Thanh,EVOS Esports,Manager,Vietnam,21.0
7,BigKoro,Đặng Ngọc Tài,Phong Vũ Buffalo,Bot,Vietnam,19.0
8,Biob,Nguyễn Lâm Việt Sinh,EVOS Esports,Support,Vietnam,
9,Blazes,Đỗ Đình Sang,GAM Esports,Mid,Vietnam,20.0
10,Celebrity,Nguyễn Phước Long Hiệp,Friends Forever,Bot,Vietnam,22.0
11,ChiChi,Đặng Phạm Phương Chi,Friends Forever,Support,Vietnam,24.0
12,CHP,Chung Hiệp Phát,Adonis Esports,Mid,Vietnam,20.0
13,Ciel,Trần Tiến Thịnh,QTV Gaming,Jungler,Vietnam,20.0
14,Clear,Trịnh Ngọc Anh Tuấn,Academy SBTC,Bot,Vietnam,22.0
15,Darrys,Trương Tuấn Kiệt,Sky Gaming,Top,Vietnam,20.0
16,Dia1,Lê Phú Quý,EVOS Esports,Mid,Vietnam,
17,Div Kid,Võ Thanh Tùng,EVOS Esports,Bot,Vietnam,17.0
18,DNK,Đỗ Ngọc Khải,Friends Forever,Jungler,Vietnam,
19,EasyLove,Hứa Thành An,CERBERUS Esports,Bot,Vietnam,19.0
20,Eragon,Nguyễn Ngọc Huy,Vikings Gaming,Mid,Vietnam,
21,Escanor,Nguyễn Phước Thành Duy,LP Gaming,Mid,Vietnam,
22,Genza,Trần Hồng Phúc,QTV Gaming,Mid,Vietnam,20.0
23,Glory,Lê Ngọc Vinh,Maximal,Mid,Vietnam,
24,Hai,Lê Hoàng Hải,Sky Gaming,Support,Vietnam,18.0
25,Hani,Nguyễn Tuấn Phát,Friends Forever,Top,Vietnam,
26,Hinn,Đinh Quang Huy,Sky Gaming,Support,Vietnam,19.0
27,Hope,Phạm Trung Hiếu,Adonis Esports,Coach,Vietnam,22.0
28,Jisoo,Huỳnh Hữu Sang,QTV Gaming,Bot,Vietnam,20.0
29,Kati,Đặng Thanh Phê,Sky Gaming,Mid,Vietnam,
30,Kiaya,Trần Duy Sang,GAM Esports,Top,Vietnam,18.0
31,KingJ,Lê Võ Đăng Khương,Friends Forever,Top,Vietnam,23.0
32,Kit,Phạm Tuấn Vĩ,Academy SBTC,Support,Vietnam,21.0
33,Knight,Vũ Hồng Sơn,CERBERUS Esports,Jungler,Vietnam,
34,Kriss,Nguyễn Hữu Phúc,Friends Forever,Jungler,Vietnam,18.0
35,Kuroko,Trần Tuấn Anh,FTV Esports,Jungler,Vietnam,
36,Levi,Đỗ Duy Khánh,GAM Esports,Jungler,Vietnam,21.0
37,Light,Nguyễn Đức Minh,Vikings Gaming,Jungler,Vietnam,
38,Ling,Nguyễn Mạnh Linh,Phong Vũ Buffalo,Analyst,Vietnam,
39,LL,Ngô Minh Quân,CERBERUS Esports,Top,Vietnam,18.0
40,Map1,Vũ Tuấn Mạnh,FTV Esports,Top,Vietnam,
41,Meliodas,Hoàng Tiến Nhật,Phong Vũ Buffalo,Jungler,Vietnam,18.0
42,MeoCon,Trần Thanh Lâm,FTV Esports,Jungler,Vietnam,
43,Mias,Trần Mai Anh Khoa,EVOS Esports,Top,Vietnam,
44,Milano,Nguyễn Tô Ny,FTV Esports,Support,Vietnam,
45,Minas,Phạm Minh Phước,GAM Esports,Bot,Vietnam,22.0
46,Minky,Đỗ Đức Minh,Bigetron E-Sports,Top,Vietnam,
47,MT,Nguyễn Minh Trí,Bigetron E-Sports,Mid,Vietnam,
48,Naul,Võ Thành Luân,Phong Vũ Buffalo,Mid,Vietnam,20.0
49,Nix,Mai Nhật Tân,Friends Forever,Coach,Vietnam,33.0
50,Noodles,Trần Gia Huy,Adonis Esports,Bot,Vietnam,
51,Noway,Nguyễn Vũ Long,EVOS Esports,Bot,Vietnam,22.0
52,Optimus,Trần Văn Cường,Sky Gaming,Mid,Vietnam,22.0
53,Osas,Hoàng Văn Cường,Vikings Gaming,Support,Vietnam,
54,Pake,Huỳnh Thanh Hoàng,CERBERUS Esports,Mid,Vietnam,19.0
55,Palette,Nguyễn Hải Trung,Phong Vũ Buffalo,Support,Vietnam,19.0
56,Police,Huỳnh Thiếc Tuấn,FTV Esports,Bot,Vietnam,
57,Pot,Văn Hữu Bảo,CERBERUS Esports,Jungler,Vietnam,22.0
58,Qeo,Phạm Vũ Khánh Toàn,Adonis Esports,Jungler,Vietnam,
59,Ren,Nguyễn Văn Trọng,Phong Vũ Buffalo,Coach,Vietnam,24.0
60,RonOP,Lê Thiên Hàn,CERBERUS Esports,Support,Vietnam,20.0
61,Sena,Trương Tuấn Tú,Academy SBTC,Jungler,Vietnam,22.0
62,Sergh,Liêu Nam Lộc,CERBERUS Esports,Coach,Vietnam,25.0
63,Shaoran,Trần Hoàng Phúc,CERBERUS Esports,Support,Vietnam,19.0
64,Shinie,Lê Phước Nhân,Vikings Gaming,Jungler,Vietnam,
65,Slay,Nguyễn Ngọc Hùng,GAM Esports,Support,Vietnam,21.0
66,Slayder,Nguyễn Linh Vương,Sky Gaming,Bot,Vietnam,18.0
67,SofM,Lê Quang Duy,LNG Esports,Jungler,Vietnam,21.0
68,Sorn,Nguyễn Minh Hào,EVOS Esports,Jungler,Vietnam,18.0
69,Sya,Phan Trung Toàn,FTV Esports,Coach,Vietnam,19.0
70,Taurus,Đặng Văn Tài,Sky Gaming,Top,Vietnam,21.0
71,Tiger,Trần Dần,FTV Esports,Support,Vietnam,
72,Tinikun,Dương Nguyễn Duy Thanh,GAM Esports,Coach,Vietnam,29.0
73,Tofu,Đinh Tấn Phát,LP Gaming,Bot,Vietnam,
74,Twice,Nguyễn Trọng Phú,LP Gaming,Top,Vietnam,
75,Venus,Bùi Nguyễn Quốc Hoàng,Friends Forever,Support,Vietnam,19.0
76,Victory,Nguyễn Quốc Thắng,FTV Esports,Mid,Vietnam,19.0
77,Violet,Ngô Mạnh Quyền,EVOS Esports,Coach,Vietnam,32.0
78,Vit,Lê Hoài An,Adonis Esports,Bot,Vietnam,
79,Warzone,Đoàn Văn Ngọc Sơn,Box Gaming,Streamer,Vietnam,24.0
80,XuHao,Bùi Hoàng Sơn Vương,Phong Vũ Buffalo,Jungler,Vietnam,19.0
81,Y1,Trần Gia Huy,Adonis Esports,Jungler,Vietnam,
82,Yado,Đoàn Minh Trung,CERBERUS Esports,Mid,Vietnam,20.0
83,YiJin,Nguyễn Lê Hải Đăng,Sky Gaming,Jungler,Vietnam,18.0
84,Yin,Văn Phúc An Khang,GAM Esports,Support,Vietnam,
85,Yoshino,Lê Trung Kiên,GAM Esports,Top,Vietnam,
86,YT,Bùi Thế Vinh,CERBERUS Esports,Top,Vietnam,20.0
87,Zeldris,Huỳnh Công Phương,CERBERUS Esports,Bot,Vietnam,20.0
