,Rank,Tournament,Prize,Game,Teams,Players
0,1,The International 2018,25532177.0,Dota 2,18,90
1,2,The International 2017,24687919.0,Dota 2,18,90
2,3,The International 2016,20770460.0,Dota 2,16,80
3,4,The International 2015,18429613.05,Dota 2,16,80
4,5,The International 2014,10931103.0,Dota 2,14,70
5,6,LoL 2018 World Championship,6450000.0,League of Legends,24,130
6,7,LoL 2016 World Championship,5070000.0,League of Legends,16,86
7,8,LoL 2017 World Championship,4946969.0,League of Legends,24,128
8,9,Fortnite Fall Skirmish Series - Clubs Standings,4000000.0,Fortnite,5,498
9,10,DAC 2015,3057521.0,Dota 2,20,100
10,11,The Boston Major 2016,3000000.0,Dota 2,16,80
11,12,The Frankfurt Major 2015,3000000.0,Dota 2,16,80
12,13,The Kiev Major 2017,3000000.0,Dota 2,16,80
13,14,The Manila Major 2016,3000000.0,Dota 2,16,80
14,15,The Shanghai Major 2016,3000000.0,Dota 2,16,80
15,16,The International 2013,2874381.0,Dota 2,8,40
16,17,Smite World Championship 2015,2612259.0,SMITE,8,40
17,18,Halo World Championship 2016,2500000.0,Halo 5: Guardians,16,64
18,19,LoL 2014 World Championship,2130000.0,League of Legends,16,82
19,20,LoL 2015 World Championship,2130000.0,League of Legends,16,85
20,21,LoL Season 3 World Championship,2050000.0,League of Legends,14,70
21,22,Call of Duty XP Championship 2016,2000000.0,Call of Duty: Black Ops III,32,127
22,23,LoL Season 2 World Championship,2000000.0,League of Legends,12,60
23,24,Six Invitational 2019,2000000.0,Rainbow Six Siege,16,80
24,25,Fortnite Fall Skirmish Series - Week 6 - Grand Finals,1942500.0,Fortnite,50,100
25,26,Overwatch League - Season 1 Playoffs,1700000.0,Overwatch,6,60
26,27,Mid-Season Invitational 2017,1690000.0,League of Legends,13,67
27,28,Fortnite Summer Skirmish Series - Week 8,1676250.0,Fortnite,0,99
28,29,The International 2011,1600000.0,Dota 2,8,42
29,30,The International 2012,1600000.0,Dota 2,8,40
30,31,CWL Championship 2017,1525000.0,Call of Duty: Infinite Warfare,33,128
31,32,China Dota2 Supermajor 2018,1500000.0,Dota 2,16,80
32,33,CWL Championship 2018,1500000.0,Call of Duty: World War II,32,128
33,34,WESG 2016 (CS:GO),1500000.0,Counter-Strike: Global Offensive,8,40
34,35,WESG 2016 (Dota 2),1500000.0,Dota 2,8,40
35,36,WESG 2017 (CS:GO Male),1500000.0,Counter-Strike: Global Offensive,16,80
36,37,WESG 2017 (Dota 2),1500000.0,Dota 2,16,80
37,38,ELEAGUE Season 1,1410000.0,Counter-Strike: Global Offensive,24,124
38,39,Mid-Season Invitational 2018,1370520.0,League of Legends,14,73
39,40,Shadowverse World Grand Prix 2018,1310000.0,Shadowverse,0,24
40,41,Overwatch League - Season 1 Regular Season,1300000.0,Overwatch,12,130
41,42,ELEAGUE Season 2,1100000.0,Counter-Strike: Global Offensive,16,81
42,43,2017 Las Vegas eRace,1000000.0,rFactor 2,0,30
43,44,BlizzCon 2016 (Hearthstone),1000000.0,Hearthstone,0,16
44,45,Call of Duty Championship 2013,1000000.0,Call of Duty: Black Ops 2,8,32
45,46,Call of Duty Championship 2014,1000000.0,Call of Duty: Ghosts,8,32
46,47,Call of Duty Championship 2015,1000000.0,Call of Duty: Advanced Warfare,8,32
47,48,Call of Duty XP,1000000.0,Call of Duty: Modern Warfare 3,8,32
48,49,DAC 2018,1000000.0,Dota 2,16,80
49,50,DreamLeague Season 11,1000000.0,Dota 2,16,80
50,51,ELEAGUE CS:GO Premier 2017,1000000.0,Counter-Strike: Global Offensive,16,80
51,52,ELEAGUE CS:GO Premier 2018,1000000.0,Counter-Strike: Global Offensive,8,40
52,53,ELEAGUE Major 2017,1000000.0,Counter-Strike: Global Offensive,16,80
53,54,ELEAGUE Major: Boston 2018,1000000.0,Counter-Strike: Global Offensive,16,80
54,55,EPICENTER XL,1000000.0,Dota 2,12,60
55,56,ESL One Birmingham 2018,1000000.0,Dota 2,12,60
56,57,ESL One Hamburg 2017,1000000.0,Dota 2,8,40
57,58,ESL One Katowice 2018 (Dota 2),1000000.0,Dota 2,16,80
58,59,ESL One: Cologne 2016,1000000.0,Counter-Strike: Global Offensive,16,81
59,60,FACEIT Major: London 2018,1000000.0,Counter-Strike: Global Offensive,16,80
60,61,Halo World Championship 2017,1000000.0,Halo 5: Guardians,12,48
61,62,Halo World Championship 2018,1000000.0,Halo 5: Guardians,16,64
62,63,Hearthstone World Championship 2017,1000000.0,Hearthstone,0,16
63,64,Hearthstone World Championship 2019,1000000.0,Hearthstone,0,16
64,65,HGC 2016 - Fall Finals,1000000.0,Heroes of the Storm,12,60
65,66,HGC 2017 Global Finals,1000000.0,Heroes of the Storm,16,80
66,67,HGC 2018 Global Finals,1000000.0,Heroes of the Storm,12,60
67,68,Honor of Kings Champion Cup Summer 2018,1000000.0,Arena of Valor,16,29
68,69,IEM XIII - Katowice 2019 (CS:GO Major),1000000.0,Counter-Strike: Global Offensive,16,80
69,70,Intel Grand Slam Season 1,1000000.0,Counter-Strike: Global Offensive,1,5
70,71,MDL Changsha Major 2018,1000000.0,Dota 2,12,60
71,72,MDL Disneyland Paris Major,1000000.0,Dota 2,16,75
72,73,Mid-Season Invitational 2019,1000000.0,League of Legends,13,66
73,74,MLG Major Championship: Columbus 2016,1000000.0,Counter-Strike: Global Offensive,16,80
74,75,Mythic Invitational,1000000.0,Magic: The Gathering Arena,0,64
75,76,PGL Major Kraków 2017,1000000.0,Counter-Strike: Global Offensive,16,80
76,77,PUBG Global Invitational 2018 (FPP),1000000.0,PLAYERUNKNOWN’S BATTLEGROUNDS,22,80
77,78,PUBG Global Invitational 2018 (TPP),1000000.0,PLAYERUNKNOWN’S BATTLEGROUNDS,22,80
78,79,ROG DreamLeague Season 8,1000000.0,Dota 2,8,40
79,80,Smite World Championship 2016,1000000.0,SMITE,10,50
80,81,Smite World Championship 2017,1000000.0,SMITE,10,45
81,82,The Bucharest Major 2018,1000000.0,Dota 2,8,40
82,83,The Chongqing Major 2019,1000000.0,Dota 2,16,81
83,84,The Kuala Lumpur Major 2018,1000000.0,Dota 2,16,80
84,85,CrossFire Stars 2018,900000.0,CrossFire,8,40
85,86,WESG 2018 (CS:GO Male),890000.0,Counter-Strike: Global Offensive,8,40
86,87,WESG 2018 (Dota 2),890000.0,Dota 2,8,40
