,Year,Rank,Country,Amount Earned,Number of Player
0,2019,1,United States,6180331.22,2047
1,2019,2,"Korea, Republic of",4411988.66,657
2,2019,3,China,3351494.08,394
3,2019,4,Denmark,1832823.97,267
4,2019,5,Russian Federation,1702023.0,327
5,2019,6,Sweden,1453815.73,261
6,2019,7,Finland,1380902.19,137
7,2019,8,Germany,1356387.04,408
8,2019,9,Canada,1268590.22,302
9,2019,10,France,1143605.31,540
10,2019,11,Brazil,937499.8,348
11,2019,12,Poland,936204.5,220
12,2019,13,Philippines,914192.23,59
13,2019,14,Australia,910055.93,360
14,2019,15,United Kingdom,848630.3,353
15,2019,16,Bulgaria,676095.82,50
16,2019,17,Norway,587765.67,82
17,2019,18,Ukraine,505101.0,108
18,2019,19,Spain,492951.0,160
19,2019,20,Japan,491620.41,167
20,2019,21,Italy,425390.48,63
21,2019,22,Netherlands,364429.62,160
22,2019,23,"Taiwan, Republic of China",351874.44,92
23,2019,24,Malaysia,343815.64,68
24,2019,25,Estonia,282948.88,32
25,2019,26,Jordan,252300.0,6
26,2019,27,Thailand,245278.61,111
27,2019,28,Argentina,181691.13,79
28,2019,29,Kazakhstan,180883.37,25
29,2019,30,Viet Nam,171943.71,96
30,2019,31,Mexico,156804.03,44
31,2019,32,Belarus,147589.02,63
32,2019,33,Belgium,144317.25,58
33,2019,34,Israel,143323.98,24
34,2019,35,Portugal,142049.85,94
35,2019,36,Czech Republic,137788.12,55
36,2019,37,Turkey,135940.96,70
37,2019,38,Slovenia,128241.19,14
38,2019,39,Croatia,121708.0,20
39,2019,40,Austria,117609.32,53
40,2019,41,Indonesia,116530.38,63
41,2019,42,Pakistan,112406.13,36
42,2019,43,Peru,99637.32,52
43,2019,44,Switzerland,93733.07,34
44,2019,45,Slovakia,93540.88,16
45,2019,46,Singapore,91536.14,51
46,2019,47,Hong Kong,79815.47,32
47,2019,48,Bosnia and Herzegovina,74918.81,5
48,2019,49,Lebanon,74107.42,12
49,2019,50,New Zealand,69907.22,34
50,2019,51,Ireland,69597.77,15
51,2019,52,Lithuania,66714.18,34
52,2019,53,Serbia,65655.15,29
